timestamp;eventTime;date;hour;service;requests;unique_events;cost
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;unknown;354;39;0.00141600
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;cloudtrail;60;2;0.00024000
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;ec2;1325;38;0.00530000
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;elb;70;1;0.00028000
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;iam;440;20;0.00176000
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;lambda;65;2;0.00026000
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;logs;64;2;0.00025600
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;rds;61;1;0.00024400
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;s3;298;15;0.00119200
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;sns;56;1;0.00022400
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;sts;1658;2;0.00663200
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;unknown;341;42;0.00136400
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;cloudtrail;31;3;0.00012400
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;ec2;1284;36;0.00513600
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;elb;43;1;0.00017200
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;iam;402;20;0.00160800
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;lambda;50;4;0.00020000
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;logs;63;3;0.00025200
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;rds;28;1;0.00011200
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;s3;243;7;0.00097200
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;sns;29;1;0.00011600
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;sts;1668;2;0.00667200
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;unknown;236;44;0.00094400
2017-09-01 00:00:00;2017-09-01 00:00:00;2017-09-01;0;ec2;810;22;0.00324000
2017-09-01 00:00:00;2017-09-01 00:00:00;2017-09-01;0;elb;14;1;0.00005600
2017-09-01 00:00:00;2017-09-01 00:00:00;2017-09-01;0;iam;187;15;0.00074800
2017-09-01 00:00:00;2017-09-01 00:00:00;2017-09-01;0;lambda;24;3;0.00009600
2017-09-01 00:00:00;2017-09-01 00:00:00;2017-09-01;0;logs;44;2;0.00017600
2017-09-01 00:00:00;2017-09-01 00:00:00;2017-09-01;0;rds;1;1;0.00000400
2017-09-01 00:00:00;2017-09-01 00:00:00;2017-09-01;0;s3;149;7;0.00059600
2017-09-01 00:00:00;2017-09-01 00:00:00;2017-09-01;0;sns;1;1;0.00000400
2017-09-01 00:00:00;2017-09-01 00:00:00;2017-09-01;0;sts;1422;2;0.00568800
2017-09-01 00:00:00;2017-09-01 00:00:00;2017-09-01;0;unknown;133;31;0.00053200
2017-10-01 00:00:00;2017-10-01 00:00:00;2017-10-01;0;cloudtrail;45;2;0.00018000
2017-10-01 00:00:00;2017-10-01 00:00:00;2017-10-01;0;ec2;5235;64;0.02094000
2017-10-01 00:00:00;2017-10-01 00:00:00;2017-10-01;0;elb;42;1;0.00016800
2017-10-01 00:00:00;2017-10-01 00:00:00;2017-10-01;0;iam;1877;16;0.00750800
2017-10-01 00:00:00;2017-10-01 00:00:00;2017-10-01;0;lambda;42;3;0.00016800
